Yarn ID,Discontinued,Grams,Machine Washable,Average Rating,Yardage,Yarn Weight
87211,False,100.0,False,4.66,459.0,Fingering
4303,False,113.0,True,4.24,450.0,Fingering
141086,False,100.0,True,4.82,400.0,Fingering
54431,False,113.0,True,4.68,420.0,Light Fingering
2855,False,50.0,False,4.1,88.0,Aran
34013,False,50.0,False,4.7,114.0,DK
153807,False,100.0,False,4.79,463.0,Fingering
152665,False,,False,4.82,225.0,DK
12283,True,100.0,False,4.72,252.0,DK
52855,False,113.0,True,4.9,385.0,Fingering
40151,True,100.0,True,4.79,440.0,Fingering
123862,False,,True,4.82,250.0,DK
84615,False,100.0,True,4.64,459.0,Light Fingering
137762,False,200.0,True,4.52,831.0,Fingering
47787,False,100.0,True,4.79,400.0,Fingering
76987,False,70.0,True,4.76,340.0,Light Fingering
5512,False,50.0,True,4.53,185.0,Fingering
56931,False,50.0,False,4.78,191.0,Sport
121206,False,113.0,True,4.77,280.0,DK
71690,False,100.0,False,4.73,400.0,Fingering
100502,True,,False,4.69,420.0,Fingering
83403,False,100.0,True,4.74,459.0,Fingering
26378,False,100.0,False,4.56,230.0,Aran
115225,False,50.0,True,4.65,218.0,Fingering
133254,True,100.0,True,4.85,219.0,Worsted
101893,True,100.0,False,4.5,215.0,Worsted
153323,False,100.0,False,4.92,463.0,Light Fingering
136063,False,100.0,True,4.88,464.0,Fingering
123700,False,50.0,True,4.66,229.0,Fingering
46233,False,100.0,False,4.69,437.0,Fingering
78844,False,100.0,True,4.85,227.0,DK
32611,False,100.0,True,4.82,463.0,Light Fingering
52977,False,100.0,True,4.87,98.0,Bulky
110940,False,100.0,False,4.79,437.0,Fingering
64762,False,100.0,True,4.23,420.0,Fingering
3511,False,100.0,False,4.46,260.0,Aran
130183,False,115.0,True,4.94,250.0,DK
49555,False,100.0,False,4.82,437.0,Fingering
116202,False,100.0,True,4.75,360.0,Sport
84174,False,114.0,True,4.61,425.0,Fingering
15117,False,113.0,True,4.74,200.0,Worsted
137854,False,100.0,True,4.95,400.0,Fingering
110589,False,113.0,False,4.72,560.0,Light Fingering
18972,False,112.0,False,4.25,217.0,Worsted
34961,True,150.0,True,4.57,360.0,DK
11358,True,113.0,True,4.44,560.0,Light Fingering
28108,True,,False,4.66,1000.0,Lace
128277,False,100.0,True,4.81,465.0,Light Fingering
98307,False,100.0,True,4.59,656.0,Lace
53609,False,65.0,True,4.36,230.0,Fingering
162125,False,50.0,False,4.76,191.0,Fingering
113480,False,113.0,True,4.81,184.0,Aran
3983,True,100.0,True,4.4,450.0,Fingering
73581,True,100.0,True,4.87,463.0,Light Fingering
156248,False,100.0,True,4.84,400.0,Fingering
126242,False,150.0,False,4.78,87.0,Super Bulky
68989,False,100.0,True,4.81,400.0,Fingering
143325,False,100.0,False,4.8,465.0,Light Fingering
130186,False,100.0,True,4.91,400.0,Fingering
135381,False,115.0,True,4.84,420.0,Fingering
11807,False,28.0,False,4.72,350.0,Lace
108216,False,100.0,True,4.84,190.0,Worsted
76685,False,100.0,True,4.77,218.0,Worsted
65953,False,100.0,True,4.76,460.0,Light Fingering
143718,False,100.0,True,4.83,437.0,Fingering
151580,False,100.0,False,4.88,460.0,Light Fingering
34167,False,114.0,False,4.84,154.0,Bulky
89662,False,100.0,True,4.82,400.0,Fingering
119629,False,113.0,True,4.08,480.0,Light Fingering
26492,False,100.0,True,4.44,400.0,Fingering
92376,False,100.0,True,4.81,400.0,Fingering
96182,False,13.0,False,4.69,45.0,Fingering
84068,False,100.0,True,4.89,462.0,Light Fingering
121245,False,100.0,False,4.83,437.0,Fingering
127631,False,240.0,False,4.82,700.0,Sport
64802,False,100.0,True,4.48,437.0,Fingering
138550,False,100.0,True,4.79,383.0,Fingering
142312,False,100.0,False,4.59,380.0,DK
154351,False,100.0,False,4.82,465.0,Light Fingering
157566,False,100.0,True,4.88,197.0,Worsted
48897,False,70.0,False,4.83,315.0,Fingering
67874,False,100.0,True,4.82,400.0,Fingering
30635,False,100.0,True,4.68,436.0,Fingering
52010,False,114.0,False,4.74,750.0,Lace
51894,False,100.0,True,4.83,460.0,Light Fingering
165006,False,100.0,False,4.85,274.0,DK
73396,False,100.0,False,4.79,437.0,Fingering
66902,True,100.0,False,4.62,108.0,Bulky
137184,False,100.0,True,4.93,400.0,Fingering
123248,False,100.0,True,4.76,400.0,Fingering
133362,False,113.0,False,4.74,560.0,Light Fingering
99439,False,100.0,True,4.91,400.0,Fingering
33305,False,100.0,False,4.67,459.0,Light Fingering
147389,False,100.0,False,4.75,400.0,Fingering
97172,True,113.0,False,4.81,250.0,Worsted
